Id,Code,Name,Description,Category
31,AM14,Generalization and aggregation,Generalization addresses the meaningful reduction of the map content during scale reduction. All geospatial data are generalized. Even the most detailed data represent only subsets of reality. Furthermore - data are further generalized for purposes of mapping - visualization - and efficient storage. A variety of generalization techniques have been developed to facilitate this process. All are scale dependent. Aggregation is one form of generalization that transforms large numbers of individual objects into summarized groups. This concept description is concerned with the nature of these procedures and their implications for professional practice. Generalization is an important part of cartography (and is therefore discussed conceptually in CV2 Data considerations) - but is also a transformation common to many GIS procedures.,NONE
32,AM2-1,Set theory,Set theory is based on describing collections of members within sets. The Boolean membership function is binary - i.e. an element is either a member of the set (membership is true) or it is not a member of the set (membership is false). Such a membership notion is well-suited to the description of spatial features such as land parcels for which no ambiguity is involved and an individual ground truth sample can be judged to be either correct or incorrect. As Burrough and Frank (1996) note - increasingly - people are beginning to realize that the fundamental axioms of simple binary logic present limits to the way we think about the world. Not only in everyday situations - but also in formalized thought - it is necessary to be able to deal with concepts that are not necessarily true or false - but that operate somewhere in between. Since its original development by Zadeh (1965) - there has been considerable discussion of fuzzy - or continuous - set theory as an approach for handling imprecise spatial data. In GIS - fuzzy set theory appears to have two particular benefits: the ability to handle logical modelling (map overlay) operations on inexact data; and the possibility of using a variety of natural language expressions to qualify uncertainty. Unlike Boolean sets - fuzzy or continuous sets have a membership function - which can assign to a member any value between 0 and 1.,NONE
33,AM2-2,Structured Query Language (SQL) and attribute queries,The most common operator for defining queries in a relational database is the language SQL - which stands for Structured Query Language.\r\rA spatial DBMS provides support for geographic coordinate systems and transformations. It will also provide storage of the relationships between features - including the creation and storage of topological relationships. As a result - one is able to use functions for “spatial query” (exploring spatial relationships). To illustrate - a spatial query using SQL to find all the Thai restaurants within 2 km of a given hotel would look like:\r\rSELECT R.Name\rFROM Restaurants AS R -\rHotels as H\rWHERE R.Type = Thai AND\rH.name = Hilton AND\rIntersect(R.Geometry - Buffer(H.Geometry - 2))\r\rThe Intersect command creates a spatial join between restaurants and hotels. The Geometry column carries the spatial data. It is likely that in the near future all spatial data will be stored directly in spatial databases.,NONE
34,AM2-3,Spatial queries,When exploring a spatial data set - the first thing one usually wants to do is select certain features - to (temporarily) restrict the exploration. Such selections can be made on geometric/spatial grounds or on the basis of attribute data associated with the spatial features. \r\rSelection conditions on attribute values can be combined using logical connectives such as AND - OR and NOT. Other techniques of selecting features can also usually be combined. Any set of selected features can be used as the input for a subsequent selection procedure. This means - for instance - that we can select all medical clinics first - then identify roads within 200 m of them - then select from those only the major roads - then select the nearest clinics to these remaining roads as the ones that should receive our financial support for maintenance. In this way - we are combining various techniques of selection.\r\rInteractive Spatial Selection\rIn interactive spatial selection - one defines the selection condition by pointing at or drawing spatial objects on the screen display - after having indicated the spatial data layer(s) from which to select features. The interactively defined objects are called the selection objects; they can be points - lines - or polygons. The GIS then selects the features in the indicated data layer(s) that overlap (i.e. intersect - meet - contain - or are contained in;) with the selection objects. These become the selected objects.\rInteractive spatial selection answers questions like “What is at …?”\r\rA spatial DBMS provides support for geographic coordinate systems and transformations. It will also provide storage of the relationships between features - including the creation and storage of topological relationships. As a result - one is able to use functions for “spatial query” (exploring spatial relationships). To illustrate - a spatial query using SQL to find all the Thai restaurants within 2 km of a given hotel would look like:\r\rSELECT R.Name\rFROM Restaurants AS R -\rHotels as H\rWHERE R.Type = Thai AND\rH.name = Hilton AND\rIntersect(R.Geometry - Buffer(H.Geometry - 2))\r\rThe Intersect command creates a spatial join between restaurants and hotels. The Geometry column carries the spatial data. It is likely that in the near future all spatial data will be stored directly in spatial databases.,NONE
35,AM2,Query operations and query languages,Attribute and spatial query operations are core functionality in any GIS and they are often considered to be the most basic form of analysis.,NONE
36,AM3-1,Distances and lengths,In a 2D polar coordinate system points can be described with coordinates. Another way of defining a point in a plane is by using polar coordinates. This is the distance d from the origin to the point concerned and the angle α between a fixed (or zero) direction and the direction to the point. The angle α is called azimuth or bearing and is measured in a clockwise direction. It is given in angular units while the distance d is expressed in length units. \r\rDistance also plays a role in computations on networks - comprising a different set of analytical functions in GISs. Here - the network may consist of roads - public transport routes - high-voltage power lines - or other forms of transportation infrastructure. Analysis of networks may entail shortest path computations (in terms of distance or travel time) between two points in a network for routing purposes. Other forms are to find all points reachable within a given distance or duration from a start point for allocation purposes - or determination of the capacity of the network for transportation between an indicated source location and sink location.\r\rIn raster images - the distance function applied is the Pythagorean distance between the cell centres. The distance from a non-target cell to the target is the minimal distance one can find between that non-target cell and any target cell.,NONE
37,AM3-2,Direction,In a 2D polar coordinate system points can be described with coordinates. Another way of defining a point in a plane is by using polar coordinates. This is the distance d from the origin to the point concerned and the angle α between a fixed (or zero) direction and the direction to the point. The angle α is called azimuth or bearing and is measured in a clockwise direction. It is given in angular units while the distance d is expressed in length units.\r\rBearings are always related to a fixed direction (initial bearing) or a datum line. In principle - this reference line can be chosen freely. Three different - widely used fixed directions are: True North - Grid North and Magnetic North. The corresponding bearings are true (or geodetic) bearings - grid bearings and magnetic (or compass) bearings - respectively.\r\rIn raster images - direction is determined by the orientation of the neighboring pixels.,NONE
38,AM3-3,Shape,The representation of geographic objects is most naturally supported with vectors. After all - objects are identified by the parameters of location - shape - size and orientation - and many of these parameters can be expressed in terms of vectors. We can define features within the topological space that are easy to handle and that can be used as representations of geographic objects. These features are called simplices as they are the simplest geometric shapes of some dimension: point (0-simplex) - line segment (1-simplex) - triangle (2-simplex) - and tetrahedron (3-simplex). When we combine various simplices into a single feature - we obtain a simplicial complex. When area objects are stored using a vector approach - the usual technique is to apply a boundary model. This means that each area feature is represented by some arc/node structure that determines a polygon as the area’s boundary. A polygon representation for an area object is another example of a finite approximation of a phenomenon that may have a curvilinear boundary in reality. In images - the shape of objects often helps us to identify them (built-up areas - roads and railroads - agricultural fields - etc.).,NONE
39,AM3-4,Area,When area objects are stored using a vector approach - the usual technique is to apply a boundary model. This means that each area feature is represented by some arc/node structure that determines a polygon as the area’s boundary. A polygon representation for an area object is another example of a finite approximation of a phenomenon that may have a curvilinear boundary in reality.\rCommon sense dictates that area features of the same kind are best stored in a single data layer - represented by mutually non-overlapping polygons. This results in an application-determined (i.e. adaptive) partition of space. If the object has a fuzzy boundary - a polygon is an even worse approximation - even though potentially it may be the only one possible. Clearly - we expect additional data to accompany the area data. Such information could be stored in database tables.\r\rA simple but naïve representation of area features would be to list for each polygon the list of lines that describes its boundary. Each line in the list would - as before - be a sequence that starts with a node and ends with one - possibly with vertices in between. As the same line makes up the boundary from the two polygons - this line would be stored twice in the above representation - namely once for each polygon. This is a form of data duplication—known as data redundancy—which is (at least in theory) unnecessary - although it remains a feature of some systems. Another disadvantage of such polygon-by-polygon representations is that if we want to identify the polygons that border the bottom left polygon - we have to do a complicated and time-consuming search analysis comparing the vertex lists of all boundary lines with that of the bottom left polygon. For just a few polygons - this is fine - but in a data set with 5000 polygons - and perhaps a total of 25 -000 boundary lines - this becomes a tedious task - even with the fastest of computers.,NONE
40,AM3-5,Proximity and distance decay,Proximity computations are specific neighbourhood functions. They evaluate the characteristics of an area surrounding a feature’s location. A neighbourhood function “scans” the neighbourhood of the given feature(s) - and performs a computation on it (them).\r\rExamples of proximity computations are: (1) Buffer zone generation (or buffering) is one of the best-known neighbourhood functions. It determines a spatial envelope (buffer) around a given feature or features. The buffer created may have a fixed width or a variable width that depends on characteristics of the area. (2) Thiessen Polygon generation.\r\rDistance decay functions describe the effect of the reduced influence when the distance between two locations increases.,NONE
41,AM3-6,Adjacency and connectivity,Adjacency is the meet relationship as a topological property of a geographic object in relation ship with another. The adjacency operator identifies those features that share boundaries and - therefore - applies only to line and polygon features.\rThis meet relationship is invariant under a continuous transformation and are referred to as a topological mapping.,NONE
42,AM3,Geometric measures,For simple data exploration - GIS offers many basic geometric operations that help in extracting meaning from sets of data or for deriving new data for further analysis. Concepts on which these operations are based are addressed in Domains of geographic information and Relationships.\r\rWe can - for instance - measure angles on a map and use these for navigation in the real world - or for setting out a designed physical infrastructure. Or if - instead of a conformal projection such as UTM - we use an equivalent projection - we can determine the size of a parcel of land from the map—irrespective of where the parcel is on the map and at which elevation it is on the Earth.,NONE
43,AM4-1,Reclassification and selection operations,The reclassifications tools are used to change or reclassify the values. Reclassification of vector data involves the attributes of features in the feature attribute table - on the other hand reclassification of raster data involves the grid cell values to produce a new raster data layer. Reclassification can be used for data simplification and measurement scale change. We can adjust the data for more appropriate analysis by grouping the values and changing them. The reclassification tool can also be used to remove specific values from analysis.\rThe Select by location tool lets you select features by how they relate to other features in another layer. Selected features are based on their location. You can select features that are near or overlap the features. Most frequently used methods are intersect - within a distance - within - completely within - contain… Features can be selected in the same or other layers.\rThe Select by attributes tool lets you select features that match the selection criteria. With providing a selection criteria - matching features are selected. We can provide a complex selection criteria.,NONE
44,AM4-2,Buffers,Buffer analysis is one form of basic spatial analysis. It takes the vector representation (point - line - or polygon) of a real-world feature - and then creates a buffer zone based on a defined distance from the feature’s border. Thus - the created buffer zone is an area whose boundary always has the same distance to the input vector feature - e.g. the buffer zone for a point feature is a circle. Real-world examples for buffer zones could be protected areas along rivers or around nature conservation areas - or represent a simple proximity analysis. In the latter case - the buffer analysis is usually the first step of the analysis - followed by an overlay of the buffer zone with the target features to find those target features within the buffer zone - and thus within a certain distance of the original feature. Usually - the buffer zone extends outwards from the feature - but polygons can also have inner buffer zones. If the buffer zones from multiple features overlap - the analyst can decide to leave the individual boundaries of the buffer zones intact - or to dissolve them - i.e. merging the overlapping buffer zones into one larger buffer zone. The size of the buffer zone - i.e. the distance of its boundary from the original feature’s boundary - can be based on an uniform numerical value and associated spatial unit - but often - it is based on an attribute value (numerical or class) of the feature. Conceptually - buffering using raster representations of real-world features is similar a proximity analysis with a regular grid of square polygons: Departing from raster cells that form the area to be buffered - all raster cells that fall within the designated distance (overlay) from the buffer zone. With buffer analysis being a basic analytical operation - practically every GIS and many other analysis tools provide this functionality.,NONE
